DEPLOYMENT_PERIOD,SENSOR,TIMESTAMP,VARIABLE,DEPTH,VALUE
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-05T13:17:00Z,Dissolved Oxygen,5,108.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-05T14:59:00Z,Dissolved Oxygen,5,108.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-05T16:41:00Z,Dissolved Oxygen,5,109.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-05T18:23:00Z,Dissolved Oxygen,5,109.5
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-05T20:05:00Z,Dissolved Oxygen,5,109.8
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-05T21:47:00Z,Dissolved Oxygen,5,109.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-05T23:29:00Z,Dissolved Oxygen,5,109.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-06T01:12:00Z,Dissolved Oxygen,5,109.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-06T02:54:00Z,Dissolved Oxygen,5,109.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-06T04:36:00Z,Dissolved Oxygen,5,108.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-06T06:18:00Z,Dissolved Oxygen,5,107.5
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-06T08:00:00Z,Dissolved Oxygen,5,107.5
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-06T09:42:00Z,Dissolved Oxygen,5,107.1
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-06T11:25:00Z,Dissolved Oxygen,5,107
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-06T13:07:00Z,Dissolved Oxygen,5,109
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-06T14:49:00Z,Dissolved Oxygen,5,110.1
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-06T16:31:00Z,Dissolved Oxygen,5,110.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-06T18:13:00Z,Dissolved Oxygen,5,107.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-06T19:55:00Z,Dissolved Oxygen,5,108.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-06T21:37:00Z,Dissolved Oxygen,5,108.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-06T23:20:00Z,Dissolved Oxygen,5,108.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-07T01:02:00Z,Dissolved Oxygen,5,108.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-07T02:44:00Z,Dissolved Oxygen,5,109.7
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-07T04:26:00Z,Dissolved Oxygen,5,108.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-07T06:08:00Z,Dissolved Oxygen,5,107.5
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-07T07:50:00Z,Dissolved Oxygen,5,107.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-07T09:32:00Z,Dissolved Oxygen,5,107.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-07T11:15:00Z,Dissolved Oxygen,5,107.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-07T12:57:00Z,Dissolved Oxygen,5,108.7
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-07T14:39:00Z,Dissolved Oxygen,5,109.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-07T16:21:00Z,Dissolved Oxygen,5,110.7
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-07T18:03:00Z,Dissolved Oxygen,5,110.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-07T19:45:00Z,Dissolved Oxygen,5,109.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-07T21:27:00Z,Dissolved Oxygen,5,111.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-07T23:09:00Z,Dissolved Oxygen,5,111.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-08T00:52:00Z,Dissolved Oxygen,5,110.1
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-08T02:34:00Z,Dissolved Oxygen,5,110.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-08T04:16:00Z,Dissolved Oxygen,5,109.7
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-08T05:58:00Z,Dissolved Oxygen,5,110.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-08T07:40:00Z,Dissolved Oxygen,5,109.7
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-08T09:22:00Z,Dissolved Oxygen,5,110.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-08T11:04:00Z,Dissolved Oxygen,5,109.8
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-08T12:47:00Z,Dissolved Oxygen,5,110.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-08T14:29:00Z,Dissolved Oxygen,5,109.8
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-08T16:11:00Z,Dissolved Oxygen,5,106.8
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-08T17:53:00Z,Dissolved Oxygen,5,110.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-08T19:35:00Z,Dissolved Oxygen,5,110.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-08T21:17:00Z,Dissolved Oxygen,5,111.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-08T23:00:00Z,Dissolved Oxygen,5,111.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-09T00:42:00Z,Dissolved Oxygen,5,110.5
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-09T02:24:00Z,Dissolved Oxygen,5,110.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-09T04:06:00Z,Dissolved Oxygen,5,110
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-09T05:48:00Z,Dissolved Oxygen,5,110.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-09T07:30:00Z,Dissolved Oxygen,5,110.5
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-09T09:12:00Z,Dissolved Oxygen,5,110
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-09T10:54:00Z,Dissolved Oxygen,5,110.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-09T12:37:00Z,Dissolved Oxygen,5,111.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-09T14:19:00Z,Dissolved Oxygen,5,110.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-09T16:01:00Z,Dissolved Oxygen,5,110.8
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-09T17:43:00Z,Dissolved Oxygen,5,111.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-09T19:25:00Z,Dissolved Oxygen,5,112.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-09T21:08:00Z,Dissolved Oxygen,5,111.9
